Tract_name,id,total,,Hispanic or Latino,,White,,Black or African American,,American Indian and Alaska Native,,Asian,,Native Hawaiian and Other Pacific Islander,,Other Race,,Two or More Races,Non-White,Black or Hispanic
Census Tract 101,101,4854,616,0.1269056,1501,0.3092295,2390,0.4923774,13,0.0026782,150,0.0309023,0,0.0000000,22,0.0045323,162,0.0333745,0.6907705,0.6192831
Census Tract 102.01,102.01,6450,2049,0.3176744,1501,0.2327132,2291,0.3551938,28,0.0043411,299,0.0463566,6,0.0009302,47,0.0072868,229,0.0355039,0.7672868,0.6728682
Census Tract 102.02,102.02,2818,789,0.2799858,839,0.2977289,935,0.3317956,14,0.0049681,139,0.0493258,0,0.0000000,8,0.0028389,94,0.0333570,0.7022711,0.6117814
Census Tract 103,103,6236,1169,0.1874599,2836,0.4547787,1691,0.2711674,13,0.0020847,332,0.0532393,16,0.0025657,18,0.0028865,161,0.0258178,0.5452213,0.4586273
Census Tract 104,104,5042,480,0.0952003,3097,0.6142404,707,0.1402221,10,0.0019833,551,0.1092820,4,0.0007933,22,0.0043633,171,0.0339151,0.3857596,0.2354225
Census Tract 105.01,105.01,4091,506,0.1236861,1755,0.4289905,1271,0.3106820,14,0.0034221,381,0.0931313,4,0.0009778,27,0.0065999,133,0.0325104,0.5710095,0.4343681
Census Tract 105.02,105.02,3101,340,0.1096421,1672,0.5391809,744,0.2399226,10,0.0032248,239,0.0770719,1,0.0003225,8,0.0025798,87,0.0280555,0.4608191,0.3495647
Census Tract 105.03,105.03,2290,245,0.1069869,1326,0.5790393,301,0.1314410,9,0.0039301,331,0.1445415,2,0.0008734,2,0.0008734,74,0.0323144,0.4209607,0.2384279
Census Tract 106,106,6097,1153,0.1891094,2947,0.4833525,1493,0.2448745,8,0.0013121,327,0.0536329,1,0.0001640,18,0.0029523,150,0.0246023,0.5166475,0.4339839
Census Tract 107.01,107.01,3864,1463,0.3786232,1371,0.3548137,733,0.1896998,3,0.0007764,200,0.0517598,2,0.0005176,11,0.0028468,81,0.0209627,0.6451863,0.5683230
Census Tract 107.02,107.02,5143,2423,0.4711258,1170,0.2274937,1108,0.2154385,13,0.0025277,313,0.0608594,2,0.0003889,14,0.0027221,100,0.0194439,0.7725063,0.6865643
Census Tract 201,201,3965,952,0.2401009,1124,0.2834805,1158,0.2920555,15,0.0037831,601,0.1515763,0,0.0000000,16,0.0040353,99,0.0249685,0.7165195,0.5321564
Census Tract 202,202,6676,943,0.1412522,3602,0.5395446,593,0.0888256,2,0.0002996,1389,0.2080587,0,0.0000000,6,0.0008987,141,0.0211204,0.4604554,0.2300779
Census Tract 203.01,203.01,4750,289,0.0608421,3792,0.7983158,100,0.0210526,14,0.0029474,468,0.0985263,0,0.0000000,9,0.0018947,78,0.0164211,0.2016842,0.0818947
Census Tract 203.02,203.02,4650,952,0.2047312,2625,0.5645161,451,0.0969892,9,0.0019355,502,0.1079570,0,0.0000000,16,0.0034409,95,0.0204301,0.4354839,0.3017204
Census Tract 204,204,4168,987,0.2368042,1840,0.4414587,705,0.1691459,14,0.0033589,522,0.1252399,0,0.0000000,8,0.0019194,92,0.0220729,0.5585413,0.4059501
Census Tract 205,205,6214,1528,0.2458964,1589,0.2557129,1190,0.1915031,28,0.0045060,1675,0.2695526,0,0.0000000,23,0.0037013,181,0.0291278,0.7442871,0.4373994
Census Tract 206.01,206.01,6353,1010,0.1589800,3455,0.5438376,294,0.0462773,23,0.0036203,1315,0.2069888,0,0.0000000,31,0.0048796,225,0.0354163,0.4561624,0.2052574
Census Tract 206.02,206.02,4340,1139,0.2624424,1556,0.3585253,310,0.0714286,3,0.0006912,1212,0.2792627,0,0.0000000,9,0.0020737,111,0.0255760,0.6414747,0.3338710
Census Tract 207.01,207.01,1704,227,0.1332160,974,0.5715962,37,0.0217136,7,0.0041080,416,0.2441315,0,0.0000000,1,0.0005869,42,0.0246479,0.4284038,0.1549296
Census Tract 207.02,207.02,7194,1174,0.1631915,3126,0.4345288,526,0.0731165,18,0.0025021,2077,0.2887128,0,0.0000000,4,0.0005560,269,0.0373923,0.5654712,0.2363080
Census Tract 208.01,208.01,5458,1467,0.2687798,2294,0.4203005,366,0.0670575,10,0.0018322,1169,0.2141810,2,0.0003664,29,0.0053133,121,0.0221693,0.5796995,0.3358373
Census Tract 208.02,208.02,6963,1773,0.2546316,1668,0.2395519,711,0.1021112,19,0.0027287,2547,0.3657906,0,0.0000000,23,0.0033032,222,0.0318828,0.7604481,0.3567428
Census Tract 209.01,209.01,5221,1526,0.2922812,1300,0.2489944,1018,0.1949818,22,0.0042138,1173,0.2246696,1,0.0001915,38,0.0072783,143,0.0273894,0.7510056,0.4872630
Census Tract 209.02,209.02,4286,734,0.1712552,1761,0.4108726,556,0.1297247,5,0.0011666,1118,0.2608493,0,0.0000000,12,0.0027998,100,0.0233318,0.5891274,0.3009799
Census Tract 301.01,301.01,3893,544,0.1397380,1772,0.4551760,972,0.2496789,6,0.0015412,501,0.1286925,0,0.0000000,11,0.0028256,87,0.0223478,0.5448240,0.3894169
Census Tract 301.02,301.02,3204,347,0.1083021,1731,0.5402622,694,0.2166042,5,0.0015605,325,0.1014357,1,0.0003121,15,0.0046816,86,0.0268414,0.4597378,0.3249064
Census Tract 301.03,301.03,1928,182,0.0943983,1048,0.5435685,338,0.1753112,4,0.0020747,302,0.1566390,0,0.0000000,7,0.0036307,47,0.0243776,0.4564315,0.2697095
Census Tract 301.04,301.04,3681,282,0.0766096,2222,0.6036403,399,0.1083945,6,0.0016300,690,0.1874491,1,0.0002717,2,0.0005433,79,0.0214616,0.3963597,0.1850041
Census Tract 302,302,5369,743,0.1383870,3587,0.6680946,446,0.0830695,9,0.0016763,425,0.0791581,2,0.0003725,25,0.0046564,132,0.0245856,0.3319054,0.2214565
Census Tract 303,303,3322,1219,0.3669476,1167,0.3512944,415,0.1249247,7,0.0021072,437,0.1315473,1,0.0003010,9,0.0027092,67,0.0201686,0.6487056,0.4918724
Census Tract 304,304,2684,852,0.3174367,1303,0.4854694,185,0.0689270,1,0.0003726,273,0.1017139,0,0.0000000,6,0.0022355,64,0.0238450,0.5145306,0.3863636
Census Tract 305,305,6395,1626,0.2542611,3585,0.5605942,515,0.0805317,11,0.0017201,500,0.0781861,3,0.0004691,5,0.0007819,150,0.0234558,0.4394058,0.3347928
Census Tract 306.01,306.01,4012,521,0.1298604,1916,0.4775673,1035,0.2579761,9,0.0022433,419,0.1044367,0,0.0000000,13,0.0032403,99,0.0246760,0.5224327,0.3878365
